Company name,Code
THE A2 MILK COMPANY LIMITED,A2M
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC
ARDENT LEISURE GROUP,AAD
ADELAIDE BRIGHTON LIMITED,ABC
ABACUS PROPERTY GROUP,ABP
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI
AINSWORTH GAME TECHNOLOGY LIMITED,AGI
AGL ENERGY LIMITED.,AGL
AUTOMOTIVE HOLDINGS GROUP LIMITED.,AHG
ASALEO CARE LIMITED,AHY
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA
ARISTOCRAT LEISURE LIMITED,ALL
ALS LIMITED,ALQ
ALTIUM LIMITED,ALU
ATLAS ARTERIA,ALX
AMCOR LIMITED,AMC
AMP LIMITED,AMP
ANSELL LIMITED,ANN
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ
AVEO GROUP,AOG
APA GROUP,APA
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API
APN OUTDOOR GROUP LIMITED,APO
AFTERPAY TOUCH GROUP LIMITED,APT
ALACER GOLD CORP.,AQG
ARB CORPORATION LIMITED.,ARB
ARENA REIT.,ARF
ARGO INVESTMENTS LIMITED,ARG
AUSTAL LIMITED,ASB
AUSNET SERVICES LIMITED,AST
ASX LIMITED,ASX
ALUMINA LIMITED,AWC
AURIZON HOLDINGS LIMITED,AZJ
BELLAMY'S AUSTRALIA LIMITED,BAL
BAPCOR LIMITED,BAP
BABY BUNTING GROUP LIMITED,BBN
BETASHARES AUSTRALIAN EQUITIES BEAR HEDGE FUND,BEAR
BENDIGO AND ADELAIDE BANK LIMITED,BEN
BEGA CHEESE LIMITED,BGA
BHP BILLITON LIMITED,BHP
BLACKMORES LIMITED,BKL
BRICKWORKS LIMITED,BKW
BORAL LIMITED.,BLD
BEACON LIGHTING GROUP LIMITED,BLX
BANK OF QUEENSLAND LIMITED.,BOQ
BEACH ENERGY LIMITED,BPT
BREVILLE GROUP LIMITED,BRG
BLUESCOPE STEEL LIMITED,BSL
BWP TRUST,BWP
BRAMBLES LIMITED,BXB
CABCHARGE AUSTRALIA LIMITED,CAB
CARSALES.COM LIMITED.,CAR
COMMONWEALTH BANK OF AUSTRALIA.,CBA
COCA-COLA AMATIL LIMITED,CCL
CREDIT CORP GROUP LIMITED,CCP
COSTA GROUP HOLDINGS LIMITED,CGC
CHALLENGER LIMITED,CGF
CHARTER HALL GROUP,CHC
CIMIC GROUP LIMITED,CIM
CHORUS LIMITED,CNU
COCHLEAR LIMITED,COH
COMPUTERSHARE LIMITED.,CPU
CHARTER HALL RETAIL REIT,CQR
CSL LIMITED,CSL
CSR LIMITED,CSR
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD
CALTEX AUSTRALIA LIMITED,CTX
CROWN RESORTS LIMITED,CWN
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY
DOMAIN HOLDINGS AUSTRALIA LIMITED.,DHG
DULUXGROUP LIMITED,DLX
