CODE,COMPANY,
A2M,THE A2 MILK COMPANY LIMITED,0
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,0
AAD,ARDENT LEISURE GROUP,0
ABC,ADELAIDE BRIGHTON LIMITED,0
ABP,ABACUS PROPERTY GROUP,0
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,0
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,0
AGL,AGL ENERGY LIMITED.,0
AHG,AUTOMOTIVE HOLDINGS GROUP LIMITED.,0
AHY,ASALEO CARE LIMITED,0
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,0
ALL,ARISTOCRAT LEISURE LIMITED,0
ALQ,ALS LIMITED,0
ALU,ALTIUM LIMITED,0
ALX,ATLAS ARTERIA,0
AMC,AMCOR LIMITED,0
AMP,AMP LIMITED,0
ANN,ANSELL LIMITED,0
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,0
AOG,AVEO GROUP,0
APA,APA GROUP,0
API,AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,0
APO,APN OUTDOOR GROUP LIMITED,0
APT,AFTERPAY TOUCH GROUP LIMITED,0
AQG,ALACER GOLD CORP.,0
ARB,ARB CORPORATION LIMITED.,0
ARF,ARENA REIT.,0
ARG,ARGO INVESTMENTS LIMITED,0
ASB,AUSTAL LIMITED,0
AST,AUSNET SERVICES LIMITED,0
ASX,ASX LIMITED,0
AWC,ALUMINA LIMITED,0
AZJ,AURIZON HOLDINGS LIMITED,0
BAL,BELLAMY'S AUSTRALIA LIMITED,0
BAP,BAPCOR LIMITED,0
BBN,BABY BUNTING GROUP LIMITED,0
BEAR,BETASHARES AUSTRALIAN EQUITIES BEAR HEDGE FUND,0
BEN,BENDIGO AND ADELAIDE BANK LIMITED,0
BGA,BEGA CHEESE LIMITED,0
BHP,BHP BILLITON LIMITED,0
BKL,BLACKMORES LIMITED,0
BKW,BRICKWORKS LIMITED,0
BLD,BORAL LIMITED.,0
BLX,BEACON LIGHTING GROUP LIMITED,0
BOQ,BANK OF QUEENSLAND LIMITED.,0
BPT,BEACH ENERGY LIMITED,0
BRG,BREVILLE GROUP LIMITED,0
BSL,BLUESCOPE STEEL LIMITED,0
BWP,BWP TRUST,0
BXB,BRAMBLES LIMITED,0
CAB,CABCHARGE AUSTRALIA LIMITED,0
CAR,CARSALES.COM LIMITED.,0
CBA,COMMONWEALTH BANK OF AUSTRALIA.,0
CCL,COCA-COLA AMATIL LIMITED,0
CCP,CREDIT CORP GROUP LIMITED,0
CGC,COSTA GROUP HOLDINGS LIMITED,0
CGF,CHALLENGER LIMITED,0
CHC,CHARTER HALL GROUP,0
CIM,CIMIC GROUP LIMITED,0
CNU,CHORUS LIMITED,0
COH,COCHLEAR LIMITED,0
CPU,COMPUTERSHARE LIMITED.,0
CQR,CHARTER HALL RETAIL REIT,0
CSL,CSL LIMITED,0
CSR,CSR LIMITED,0
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,0
CTX,CALTEX AUSTRALIA LIMITED,0
CWN,CROWN RESORTS LIMITED,0
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,0
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,0
DLX,DULUXGROUP LIMITED,0
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,0
DOW,DOWNER EDI LIMITED,0
DXS,DEXUS,0
ECX,ECLIPX GROUP LIMITED,0
EHE,ESTIA HEALTH LIMITED,0
EVN,EVOLUTION MINING LIMITED,0
FBU,FLETCHER BUILDING LIMITED,0
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,0
FMG,FORTESCUE METALS GROUP LTD,0
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,0
FXL,FLEXIGROUP LIMITED,0
GEM,G8 EDUCATION LIMITED,0
GMA,GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,0
GMG,GOODMAN GROUP,0
GNC,GRAINCORP LIMITED,0
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,0
GPT,GPT GROUP,0
GUD,G.U.D. HOLDINGS LIMITED,0
GWA,GWA GROUP LIMITED.,0
GXL,GREENCROSS LIMITED,0
GXY,GALAXY RESOURCES LIMITED,0
HSN,HANSEN TECHNOLOGIES LIMITED,0
HSO,HEALTHSCOPE LIMITED.,0
HVN,HARVEY NORMAN HOLDINGS LIMITED,0
IAG,INSURANCE AUSTRALIA GROUP LIMITED,0
IEM,ISHARES MSCI EMERGING MARKETS ETF,0
IEU,ISHARES EUROPE ETF,0
IFL,IOOF HOLDINGS LIMITED,0
IGO,INDEPENDENCE GROUP NL,0
ILU,ILUKA RESOURCES LIMITED,0
ING,INGHAMS GROUP LIMITED,0
INM,IRON MOUNTAIN INCORPORATED,0
IPH,IPH LIMITED,0
IPL,INCITEC PIVOT LIMITED,0
IRE,IRESS LIMITED,0
IRI,INTEGRATED RESEARCH LIMITED,0
ISU,ISELECT LIMITED.,0
IVC,INVOCARE LIMITED,0
IVV,ISHARES S&P 500 ETF,0
JBH,JB HI-FI LIMITED,0
JHC,JAPARA HEALTHCARE LIMITED,0
JHG,JANUS HENDERSON GROUP PLC,0
JHX,JAMES HARDIE INDUSTRIES PLC,0
KAR,KAROON GAS AUSTRALIA LIMITED,0
KGN,KOGAN.COM LTD,0
KLA,KIRKLAND LAKE GOLD LTD,0
LLC,LENDLEASE GROUP,0
LNK,LINK ADMINISTRATION HOLDINGS LIMITED,0
LYC,LYNAS CORPORATION LIMITED,0
MFG,MAGELLAN FINANCIAL GROUP LIMITED,0
MGR,MIRVAC GROUP,0
MIN,MINERAL RESOURCES LIMITED,0
MMS,MCMILLAN SHAKESPEARE LIMITED,0
MND,MONADELPHOUS GROUP LIMITED,0
MNF,MNF GROUP LIMITED,0
MPL,MEDIBANK PRIVATE LIMITED,0
MQG,MACQUARIE GROUP LIMITED,0
MSB,MESOBLAST LIMITED,0
MTS,METCASH LIMITED,0
MYO,MYOB GROUP LIMITED,0
NAB,NATIONAL AUSTRALIA BANK LIMITED,0
NAN,NANOSONICS LIMITED,0
NCM,NEWCREST MINING LIMITED,0
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,0
NHC,NEW HOPE CORPORATION LIMITED,0
NHF,NIB HOLDINGS LIMITED,0
NSR,NATIONAL STORAGE REIT,0
NST,NORTHERN STAR RESOURCES LTD,0
NUF,NUFARM LIMITED,0
NVT,NAVITAS LIMITED,0
NWL,NETWEALTH GROUP LIMITED,0
NWS,NEWS CORPORATION..,0
NXT,NEXTDC LIMITED,0
OFX,OFX GROUP LIMITED,0
OGC,OCEANAGOLD CORPORATION,0
OML,OOH!MEDIA LIMITED,0
OMN,ONEMARKET LIMITED,0
ORA,ORORA LIMITED,0
ORE,OROCOBRE LIMITED,0
ORG,ORIGIN ENERGY LIMITED,0
ORI,ORICA LIMITED,0
OSH,OIL SEARCH LIMITED,0
OZL,OZ MINERALS LIMITED,0
PGH,PACT GROUP HOLDINGS LTD,0
PME,PRO MEDICUS LIMITED,0
PMV,PREMIER INVESTMENTS LIMITED,0
PPT,PERPETUAL LIMITED,0
PRY,PRIMARY HEALTH CARE LIMITED,0
PTM,PLATINUM ASSET MANAGEMENT LIMITED,0
QAN,QANTAS AIRWAYS LIMITED,0
QBE,QBE INSURANCE GROUP LIMITED,0
QUB,QUBE HOLDINGS LIMITED,0
REA,REA GROUP LTD,0
REG,REGIS HEALTHCARE LIMITED,0
